,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc
hsa05322,hsa05322,Systemic lupus erythematosus,6/59,136/8160,0.00041881,0.005208947,0.004077885,FCGR2A/FCGR3A/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,6,0.83161512,14.88829654,0.699312715
hsa04658,hsa04658,Th1 and Th2 cell differentiation,5/59,92/8160,0.000505855,0.005921475,0.004635696,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/FOS,5,0.993197279,14.41275957,0.683673469
hsa05320,hsa05320,Autoimmune thyroid disease,4/59,53/8160,0.000554312,0.006128231,0.004797557,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,4,0.98989899,14.77105229,0.686868687
hsa04010,hsa04010,MAPK signaling pathway,8/59,294/8160,0.001156351,0.012111256,0.009481438,STMN1/CD14/CSF1R/HSPA1B/GNA12/RAC1/RAP1B/FOS,8,0.61754386,11.27819613,0.575
hsa05145,hsa05145,Toxoplasmosis,5/59,112/8160,0.001236256,0.012300747,0.009629784,HSPA1B/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,5,0.744897959,12.68170433,0.612244898
hsa05171,hsa05171,Coronavirus disease - COVID-19,7/59,232/8160,0.001328801,0.012591976,0.009857775,RPS27/FCGR2A/HBEGF/RPS18/RPS6/FOS/RPL13,7,0.842013889,12.75519298,0.672619048
hsa05132,hsa05132,Salmonella infection,7/59,249/8160,0.001994388,0.018040146,0.014122939,S100A10/CD14/ACTB/RAC1/FOS/ANXA2/PFN1,7,0.904513889,21.26010904,0.845238095
hsa04380,hsa04380,Osteoclast differentiation,5/59,128/8160,0.002233012,0.019320406,0.015125206,FCGR2A/FCGR3A/CSF1R/RAC1/FOS,5,0.782312925,14.94666771,0.718367347
hsa04142,hsa04142,Lysosome,5/59,132/8160,0.002554078,0.021177563,0.016579102,ATP6V0B/CTSS/PSAP/CD63/NPC2,5,0.894557823,22.49545438,0.883673469
hsa05169,hsa05169,Epstein-Barr virus infection,6/59,202/8160,0.003231456,0.025722386,0.02013707,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/RAC1/CDK2,6,0.797250859,13.83907145,0.599656357
hsa05417,hsa05417,Lipid and atherosclerosis,6/59,215/8160,0.004390783,0.033606378,0.026309145,CD14/HSPA1B/SOD2/RAC1/RAP1B/FOS,6,0.721649485,15.70991769,0.680412371
hsa05166,hsa05166,Human T-cell leukemia virus 1 infection,6/59,222/8160,0.005130044,0.037810325,0.029600255,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/CDK2/FOS,6,0.802405498,12.28787453,0.567010309
hsa04514,hsa04514,Cell adhesion molecules,5/59,157/8160,0.005367033,0.037824976,0.029611724,MPZ/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,5,0.993197279,12.3021466,0.573469388
hsa03010,hsa03010,Ribosome,5/59,158/8160,0.005512182,0.037824976,0.029611724,RPS27/RPS18/MRPL18/RPS6/RPL13,5,0.727891156,11.83960783,0.612244898
hsa05164,hsa05164,Influenza A,5/59,171/8160,0.007660838,0.050816891,0.039782596,HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1/ACTB,5,0.976190476,16.19428527,0.716326531
hsa04611,hsa04611,Platelet activation,4/59,124/8160,0.01215014,0.077996058,0.061060125,FCER1G/FCGR2A/ACTB/RAP1B,4,0.69023569,16.70758156,0.699494949
hsa05130,hsa05130,Pathogenic Escherichia coli infection,5/59,197/8160,0.013596108,0.084132859,0.065864391,FCGR2A/GNA12/ACTB/RAC1/FOS,5,0.554421769,15.42752345,0.702040816
hsa05120,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,3/59,70/8160,0.01395168,0.084132859,0.065864391,ATP6V0B/HBEGF/RAC1,3,0.703333333,17.23298639,0.733333333
hsa05014,hsa05014,Amyotrophic lateral sclerosis,7/59,364/8160,0.015361282,0.088802093,0.069519756,NDUFS2/NDUFA2/WIPI2/ACTB/RAC1/PSMB6/PFN1,7,0.763888889,11.91609079,0.523809524
hsa05205,hsa05205,Proteoglycans in cancer,5/59,205/8160,0.015914772,0.088802093,0.069519756,HBEGF/ACTB/RAC1/RPS6/CD63,5,0.636054422,18.12991946,0.77755102
hsa00062,hsa00062,Fatty acid elongation,2/59,27/8160,0.0160647,0.088802093,0.069519756,ELOVL1/THEM4,2,0.303630363,5.965446574,0.435643564
hsa04210,hsa04210,Apoptosis,4/59,136/8160,0.016568019,0.088900866,0.069597081,MCL1/CTSS/ACTB/FOS,4,0.740740741,14.31518575,0.633838384
hsa05135,hsa05135,Yersinia infection,4/59,137/8160,0.016976045,0.088900866,0.069597081,FCGR2A/ACTB/RAC1/FOS,4,0.69023569,17.55113627,0.752525253
hsa04015,hsa04015,Rap1 signaling pathway,5/59,210/8160,0.01749119,0.089249917,0.06987034,CSF1R/ACTB/RAC1/RAP1B/PFN1,5,0.87755102,15.74045374,0.685714286
hsa05208,hsa05208,Chemical carcinogenesis - reactive oxygen species,5/59,223/8160,0.022068309,0.109789839,0.085950257,NDUFS2/NDUFA2/SOD2/RAC1/FOS,5,0.523809524,13.96212055,0.624489796
hsa04932,hsa04932,Non-alcoholic fatty liver disease,4/59,155/8160,0.025418131,0.12337093,0.096582373,NDUFS2/NDUFA2/RAC1/FOS,4,0.545454545,11.03615424,0.532828283
hsa05131,hsa05131,Shigellosis,5/59,247/8160,0.03244086,0.151738795,0.118790487,CD14/WIPI2/ACTB/RAC1/PFN1,5,0.860544218,18.47537173,0.702040816
hsa04666,hsa04666,Fc gamma R-mediated phagocytosis,3/59,97/8160,0.03278778,0.151738795,0.118790487,FCGR2A/FCGR3A/RAC1,3,0.803333333,17.51078011,0.756666667
hsa04216,hsa04216,Ferroptosis,2/59,41/8160,0.035192074,0.159164151,0.124603514,SAT1/FTH1,2,0.943894389,22.94156685,0.871287129
hsa04620,hsa04620,Toll-like receptor signaling pathway,3/59,104/8160,0.039096743,0.172894486,0.135352467,CD14/RAC1/FOS,3,0.9,20.0237968,0.82
hsa04928,hsa04928,"Parathyroid hormone synthesis, secretion and action",3/59,106/8160,0.041005302,0.172955669,0.135400365,HBEGF/GNA12/FOS,3,0.676666667,9.063326773,0.556666667
hsa04151,hsa04151,PI3K-Akt signaling pathway,6/59,354/8160,0.041705272,0.172955669,0.135400365,MCL1/THEM4/CSF1R/RAC1/RPS6/CDK2,6,0.469072165,9.367273113,0.469072165
hsa03022,hsa03022,Basal transcription factors,2/59,45/8160,0.04171795,0.172955669,0.135400365,TAF7/GTF2A2,2,0.858085809,3.694034826,0.247524752
hsa05020,hsa05020,Prion disease,5/59,273/8160,0.046670323,0.18953866,0.148382553,NDUFS2/NDUFA2/HSPA1B/RAC1/PSMB6,5,0.394557823,8.490378218,0.455102041
hsa04613,hsa04613,Neutrophil extracellular trap formation,4/59,190/8160,0.048074046,0.191334705,0.149788608,FCGR2A/FCGR3A/ACTB/RAC1,4,0.737373737,18.60488939,0.775252525
hsa04670,hsa04670,Leukocyte transendothelial migration,3/59,114/8160,0.049102879,0.191597508,0.149994347,ACTB/RAC1/RAP1B,3,0.73,16.12393499,0.656666667
hsa05110,hsa05110,Vibrio cholerae infection,2/59,50/8160,0.050456701,0.193093914,0.151165825,ATP6V0B/ACTB,2,0.825082508,22.01104334,0.821782178
hsa04071,hsa04071,Sphingolipid signaling pathway,3/59,119/8160,0.054533622,0.204758316,0.160297438,FCER1G/GNA12/RAC1,3,0.813333333,18.97138833,0.78
hsa01212,hsa01212,Fatty acid metabolism,2/59,57/8160,0.063678654,0.230400949,0.180372073,ELOVL1/ACAT2,2,NA,NA,NA
hsa05134,hsa05134,Legionellosis,2/59,57/8160,0.063678654,0.230400949,0.180372073,CD14/HSPA1B,2,0.290429043,14.56467196,0.628712871
hsa04650,hsa04650,Natural killer cell mediated cytotoxicity,3/59,131/8160,0.06868644,0.24229249,0.189681505,FCER1G/FCGR3A/RAC1,3,0.943333333,22.39189799,0.866666667
hsa05016,hsa05016,Huntington disease,5/59,306/8160,0.069400362,0.24229249,0.189681505,NDUFS2/NDUFA2/SOD2/WIPI2/PSMB6,5,0.680272109,8.759115938,0.432653061
hsa04810,hsa04810,Regulation of actin cytoskeleton,4/59,218/8160,0.07225461,0.244409684,0.191338975,GNA12/ACTB/RAC1/PFN1,4,0.835016835,18.05402846,0.742424242
hsa00190,hsa00190,Oxidative phosphorylation,3/59,134/8160,0.072463173,0.244409684,0.191338975,ATP6V0B/NDUFS2/NDUFA2,3,0.426666667,10.33770915,0.483333333
hsa04213,hsa04213,Longevity regulating pathway - multiple species,2/59,62/8160,0.073758552,0.244632531,0.191513434,HSPA1B/SOD2,2,0.485148515,14.99514913,0.643564356
hsa04915,hsa04915,Estrogen signaling pathway,3/59,138/8160,0.077641885,0.249418655,0.195260306,HBEGF/HSPA1B/FOS,3,0.78,8.193740209,0.496666667
hsa05162,hsa05162,Measles,3/59,139/8160,0.078961685,0.249418655,0.195260306,HSPA1B/CDK2/FOS,3,0.736666667,6.322450157,0.32
hsa05418,hsa05418,Fluid shear stress and atherosclerosis,3/59,139/8160,0.078961685,0.249418655,0.195260306,ACTB/RAC1/FOS,3,0.766666667,19.05119205,0.776666667
hsa05221,hsa05221,Acute myeloid leukemia,2/59,67/8160,0.084313441,0.25685073,0.201078593,CD14/CSF1R,2,0.765676568,17.01322047,0.792079208
hsa05017,hsa05017,Spinocerebellar ataxia,3/59,143/8160,0.084339401,0.25685073,0.201078593,WIPI2/RORA/PSMB6,3,0.606666667,4.995037474,0.326666667
hsa04714,hsa04714,Thermogenesis,4/59,232/8160,0.086306882,0.25685073,0.201078593,NDUFS2/NDUFA2/ACTB/RPS6,4,0.168350168,11.28078084,0.537878788
hsa04664,hsa04664,Fc epsilon RI signaling pathway,2/59,68/8160,0.086477381,0.25685073,0.201078593,FCER1G/RAC1,2,0.907590759,24.99054641,0.920792079
hsa05211,hsa05211,Renal cell carcinoma,2/59,69/8160,0.088658149,0.259455467,0.203117742,RAC1/RAP1B,2,0.488448845,13.24229388,0.574257426
hsa04520,hsa04520,Adherens junction,2/59,71/8160,0.093068786,0.268415775,0.210132423,ACTB/RAC1,2,0.785478548,22.08699373,0.831683168
hsa00533,hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,1/59,14/8160,0.096676486,0.274837439,0.215159698,B4GALT3,1,NA,NA,NA
hsa05133,hsa05133,Pertussis,2/59,76/8160,0.104366093,0.292519051,0.229001954,CD14/FOS,2,0.848184818,18.89231007,0.801980198
hsa05100,hsa05100,Bacterial invasion of epithelial cells,2/59,77/8160,0.10666934,0.294822205,0.230805006,ACTB/RAC1,2,0.798679868,22.08699373,0.831683168
hsa04662,hsa04662,B cell receptor signaling pathway,2/59,82/8160,0.118387142,0.322726593,0.252650281,RAC1/FOS,2,0.838283828,17.63317947,0.752475248
hsa04530,hsa04530,Tight junction,3/59,169/8160,0.122854709,0.330379554,0.258641492,RAB13/ACTB/RAC1,3,0.77,19.22527457,0.786666667
hsa01232,hsa01232,Nucleotide metabolism,2/59,85/8160,0.125568172,0.333174215,0.260829325,DUT/APRT,2,NA,NA,NA
hsa05210,hsa05210,Colorectal cancer,2/59,86/8160,0.127985142,0.335118989,0.262351814,RAC1/FOS,2,0.785478548,17.63317947,0.752475248
hsa00532,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,1/59,20/8160,0.135239782,0.3495158,0.273622525,CHST12,1,NA,NA,NA
hsa05410,hsa05410,Hypertrophic cardiomyopathy,2/59,90/8160,0.137761947,0.351469582,0.275152066,TPM3/ACTB,2,0.924092409,15.36779563,0.707920792
hsa04970,hsa04970,Salivary secretion,2/59,92/8160,0.142711861,0.35948937,0.281430451,LYZ/CST3,2,0.910891089,25.26656193,0.955445545
hsa00900,hsa00900,Terpenoid backbone biosynthesis,1/59,22/8160,0.147730952,0.367480742,0.28768659,ACAT2,1,NA,NA,NA
hsa05414,hsa05414,Dilated cardiomyopathy,2/59,96/8160,0.152724087,0.369012773,0.288885958,TPM3/ACTB,2,0.927392739,15.36779563,0.707920792
hsa00515,hsa00515,Mannose type O-glycan biosynthesis,1/59,23/8160,0.15390985,0.369012773,0.288885958,B4GALT3,1,NA,NA,NA
hsa03430,hsa03430,Mismatch repair,1/59,23/8160,0.15390985,0.369012773,0.288885958,PMS2,1,NA,NA,NA
hsa01522,hsa01522,Endocrine resistance,2/59,98/8160,0.157782303,0.369396216,0.289186141,HBEGF/FOS,2,NA,NA,NA
hsa05231,hsa05231,Choline metabolism in cancer,2/59,98/8160,0.157782303,0.369396216,0.289186141,RAC1/FOS,2,0.838283828,17.63317947,0.752475248
hsa05202,hsa05202,Transcriptional misregulation in cancer,3/59,193/8160,0.163082763,0.377365928,0.295425323,CD14/CSF1R/MLLT3,3,0.593333333,12.55936625,0.616666667
hsa04972,hsa04972,Pancreatic secretion,2/59,102/8160,0.167993066,0.384260001,0.300822429,RAC1/RAP1B,2,0.488448845,13.24229388,0.574257426
hsa04510,hsa04510,Focal adhesion,3/59,201/8160,0.177300002,0.393993666,0.308442542,ACTB/RAC1/RAP1B,3,0.73,16.12393499,0.656666667
hsa00601,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,1/59,27/8160,0.17818809,0.393993666,0.308442542,B4GALT3,1,NA,NA,NA
hsa01040,hsa01040,Biosynthesis of unsaturated fatty acids,1/59,27/8160,0.17818809,0.393993666,0.308442542,ELOVL1,1,NA,NA,NA
hsa05415,hsa05415,Diabetic cardiomyopathy,3/59,203/8160,0.180908716,0.394041053,0.308479639,NDUFS2/NDUFA2/RAC1,3,0.413333333,10.38834275,0.49
hsa05203,hsa05203,Viral carcinogenesis,3/59,204/8160,0.182720815,0.394041053,0.308479639,RAC1/CDK2/GTF2A2,3,0.28,9.473140366,0.386666667
hsa00650,hsa00650,Butanoate metabolism,1/59,28/8160,0.184149839,0.394041053,0.308479639,ACAT2,1,NA,NA,NA
hsa00630,hsa00630,Glyoxylate and dicarboxylate metabolism,1/59,30/8160,0.195946071,0.414822002,0.324748248,ACAT2,1,NA,NA,NA
hsa04710,hsa04710,Circadian rhythm,1/59,31/8160,0.201781149,0.422678407,0.330898726,RORA,1,NA,NA,NA
hsa04136,hsa04136,Autophagy - other,1/59,32/8160,0.207574594,0.430284835,0.336853507,WIPI2,1,NA,NA,NA
hsa04722,hsa04722,Neurotrophin signaling pathway,2/59,119/8160,0.212481004,0.435037732,0.340574368,RAC1/RAP1B,2,0.488448845,13.24229388,0.574257426
hsa04024,hsa04024,cAMP signaling pathway,3/59,221/8160,0.214239687,0.435037732,0.340574368,RAC1/RAP1B/FOS,3,0.596666667,13.15472548,0.603333333
hsa05216,hsa05216,Thyroid cancer,1/59,37/8160,0.235927471,0.474238048,0.371262794,TPM3,1,NA,NA,NA
hsa04014,hsa04014,Ras signaling pathway,3/59,235/8160,0.241038324,0.479666264,0.375512336,CSF1R/RAC1/RAP1B,3,0.793333333,11.90199908,0.596666667
hsa04068,hsa04068,FoxO signaling pathway,2/59,131/8160,0.244559059,0.481853988,0.377225021,SOD2/CDK2,2,0.237623762,13.66471755,0.485148515
hsa00513,hsa00513,Various types of N-glycan biosynthesis,1/59,39/8160,0.246987256,0.481867294,0.377235438,B4GALT3,1,NA,NA,NA
hsa05219,hsa05219,Bladder cancer,1/59,41/8160,0.257889628,0.497323178,0.389335257,HBEGF,1,NA,NA,NA
hsa05022,hsa05022,Pathways of neurodegeneration - multiple diseases,5/59,476/8160,0.259907591,0.497323178,0.389335257,NDUFS2/NDUFA2/WIPI2/RAC1/PSMB6,5,0.544217687,8.083272827,0.406122449
hsa00380,hsa00380,Tryptophan metabolism,1/59,42/8160,0.263282474,0.498982974,0.390634648,ACAT2,1,NA,NA,NA
hsa00071,hsa00071,Fatty acid degradation,1/59,43/8160,0.268636789,0.499614216,0.391128823,ACAT2,1,NA,NA,NA
hsa04975,hsa04975,Fat digestion and absorption,1/59,43/8160,0.268636789,0.499614216,0.391128823,ACAT2,1,NA,NA,NA
hsa03050,hsa03050,Proteasome,1/59,46/8160,0.284471254,0.505845473,0.396007035,PSMB6,1,NA,NA,NA
hsa05168,hsa05168,Herpes simplex virus 1 infection,5/59,495/8160,0.286593826,0.505845473,0.396007035,CD74/HLA-DRA/HLA-DRB5/HLA-DRB1/HLA-DQA1,5,1,14.81897896,0.697959184
hsa03040,hsa03040,Spliceosome,2/59,147/8160,0.287614274,0.505845473,0.396007035,TCERG1/HSPA1B,2,0.947194719,3.203045636,0.188118812
hsa00514,hsa00514,Other types of O-glycan biosynthesis,1/59,47/8160,0.289674137,0.505845473,0.396007035,B4GALT3,1,NA,NA,NA
hsa00620,hsa00620,Pyruvate metabolism,1/59,47/8160,0.289674137,0.505845473,0.396007035,ACAT2,1,NA,NA,NA
hsa04072,hsa04072,Phospholipase D signaling pathway,2/59,148/8160,0.29030381,0.505845473,0.396007035,FCER1G/GNA12,2,0.686468647,17.31369737,0.742574257
hsa04723,hsa04723,Retrograde endocannabinoid signaling,2/59,148/8160,0.29030381,0.505845473,0.396007035,NDUFS2/NDUFA2,2,0.419141914,4.439129001,0.311881188
hsa00280,hsa00280,"Valine, leucine and isoleucine degradation",1/59,48/8160,0.294839825,0.505845473,0.396007035,ACAT2,1,NA,NA,NA
hsa05010,hsa05010,Alzheimer disease,4/59,384/8160,0.301350416,0.505845473,0.396007035,NDUFS2/NDUFA2/WIPI2/PSMB6,4,0.909090909,4.532398473,0.295454545
hsa05012,hsa05012,Parkinson disease,3/59,266/8160,0.302086823,0.505845473,0.396007035,NDUFS2/NDUFA2/PSMB6,3,0.74,5.280269457,0.373333333
hsa00510,hsa00510,N-Glycan biosynthesis,1/59,50/8160,0.305060658,0.505845473,0.396007035,B4GALT3,1,NA,NA,NA
hsa04921,hsa04921,Oxytocin signaling pathway,2/59,154/8160,0.30641639,0.505845473,0.396007035,ACTB/FOS,2,0.653465347,17.43340296,0.737623762
hsa04934,hsa04934,Cushing syndrome,2/59,155/8160,0.309096591,0.505845473,0.396007035,CDK2/RAP1B,2,0.498349835,2.930633404,0.148514851
hsa00330,hsa00330,Arginine and proline metabolism,1/59,51/8160,0.31011632,0.505845473,0.396007035,SAT1,1,NA,NA,NA
hsa04979,hsa04979,Cholesterol metabolism,1/59,51/8160,0.31011632,0.505845473,0.396007035,NPC2,1,NA,NA,NA
hsa00600,hsa00600,Sphingolipid metabolism,1/59,53/8160,0.320119416,0.517916779,0.405457198,PSAP,1,NA,NA,NA
hsa03460,hsa03460,Fanconi anemia pathway,1/59,54/8160,0.325067357,0.521680678,0.40840381,PMS2,1,NA,NA,NA
hsa05161,hsa05161,Hepatitis B,2/59,162/8160,0.327801279,0.521859637,0.40854391,CDK2/FOS,2,0.369636964,7.321518999,0.326732673
hsa00240,hsa00240,Pyrimidine metabolism,1/59,58/8160,0.344507566,0.544103219,0.425957558,DUT,1,NA,NA,NA
hsa04370,hsa04370,VEGF signaling pathway,1/59,59/8160,0.349280962,0.546124157,0.427539673,RAC1,1,NA,NA,NA
hsa04730,hsa04730,Long-term depression,1/59,60/8160,0.354020182,0.546124157,0.427539673,GNA12,1,NA,NA,NA
hsa04978,hsa04978,Mineral absorption,1/59,60/8160,0.354020182,0.546124157,0.427539673,FTH1,1,NA,NA,NA
hsa00310,hsa00310,Lysine degradation,1/59,63/8160,0.368035186,0.559076351,0.437679449,ACAT2,1,NA,NA,NA
hsa03250,hsa03250,Viral life cycle - HIV-1,1/59,63/8160,0.368035186,0.559076351,0.437679449,MLLT3,1,NA,NA,NA
hsa04720,hsa04720,Long-term potentiation,1/59,67/8160,0.386257799,0.582312894,0.455870449,RAP1B,1,NA,NA,NA
hsa05031,hsa05031,Amphetamine addiction,1/59,69/8160,0.395174398,0.591275979,0.462887304,FOS,1,NA,NA,NA
hsa04917,hsa04917,Prolactin signaling pathway,1/59,70/8160,0.399584818,0.593413275,0.464560512,FOS,1,NA,NA,NA
hsa04062,hsa04062,Chemokine signaling pathway,2/59,192/8160,0.406160205,0.598710228,0.468707293,RAC1/RAP1B,2,0.531353135,13.24229388,0.574257426
hsa05167,hsa05167,Kaposi sarcoma-associated herpesvirus infection,2/59,194/8160,0.411245783,0.59936367,0.469218847,RAC1/FOS,2,0.838283828,17.63317947,0.752475248
hsa04115,hsa04115,p53 signaling pathway,1/59,73/8160,0.41262725,0.59936367,0.469218847,CDK2,1,NA,NA,NA
hsa04971,hsa04971,Gastric acid secretion,1/59,76/8160,0.425391068,0.609013112,0.476773026,ACTB,1,NA,NA,NA
hsa05212,hsa05212,Pancreatic cancer,1/59,76/8160,0.425391068,0.609013112,0.476773026,RAC1,1,NA,NA,NA
hsa05412,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,1/59,77/8160,0.429584775,0.610624074,0.478034186,ACTB,1,NA,NA,NA
hsa04721,hsa04721,Synaptic vesicle cycle,1/59,78/8160,0.43374839,0.612169714,0.479244209,ATP6V0B,1,NA,NA,NA
hsa01521,hsa01521,EGFR tyrosine kinase inhibitor resistance,1/59,79/8160,0.437882125,0.61365171,0.480404407,RPS6,1,NA,NA,NA
hsa00983,hsa00983,Drug metabolism - other enzymes,1/59,80/8160,0.441986191,0.615071692,0.481516056,DUT,1,NA,NA,NA
hsa04146,hsa04146,Peroxisome,1/59,82/8160,0.45010615,0.622021694,0.486956946,SOD2,1,NA,NA,NA
hsa05170,hsa05170,Human immunodeficiency virus 1 infection,2/59,212/8160,0.45604363,0.625880568,0.489977911,RAC1/FOS,2,0.838283828,17.63317947,0.752475248
hsa04012,hsa04012,ErbB signaling pathway,1/59,85/8160,0.462068756,0.629806044,0.493051016,HBEGF,1,NA,NA,NA
hsa04260,hsa04260,Cardiac muscle contraction,1/59,87/8160,0.469901313,0.636124907,0.497997811,TPM3,1,NA,NA,NA
hsa04211,hsa04211,Longevity regulating pathway,1/59,89/8160,0.477621729,0.637897477,0.499385488,SOD2,1,NA,NA,NA
hsa05235,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/59,89/8160,0.477621729,0.637897477,0.499385488,FOS,1,NA,NA,NA
hsa05163,hsa05163,Human cytomegalovirus infection,2/59,225/8160,0.487203047,0.644437825,0.504505676,GNA12/RAC1,2,0.650165017,14.6099212,0.668316832
hsa05222,hsa05222,Small cell lung cancer,1/59,92/8160,0.488995535,0.644437825,0.504505676,CDK2,1,NA,NA,NA
hsa04912,hsa04912,GnRH signaling pathway,1/59,93/8160,0.49273243,0.645090484,0.505016618,HBEGF,1,NA,NA,NA
hsa04657,hsa04657,IL-17 signaling pathway,1/59,94/8160,0.496442456,0.645699666,0.505493523,FOS,1,NA,NA,NA
hsa04713,hsa04713,Circadian entrainment,1/59,97/8160,0.507413224,0.649626513,0.508567701,FOS,1,NA,NA,NA
hsa05215,hsa05215,Prostate cancer,1/59,97/8160,0.507413224,0.649626513,0.508567701,CDK2,1,NA,NA,NA
hsa04061,hsa04061,Viral protein interaction with cytokine and cytokine receptor,1/59,100/8160,0.518148941,0.649626513,0.508567701,CSF1R,1,NA,NA,NA
hsa04933,hsa04933,AGE-RAGE signaling pathway in diabetic complications,1/59,100/8160,0.518148941,0.649626513,0.508567701,RAC1,1,NA,NA,NA
hsa04914,hsa04914,Progesterone-mediated oocyte maturation,1/59,102/8160,0.525177952,0.649626513,0.508567701,CDK2,1,NA,NA,NA
hsa05142,hsa05142,Chagas disease,1/59,102/8160,0.525177952,0.649626513,0.508567701,FOS,1,NA,NA,NA
hsa05146,hsa05146,Amoebiasis,1/59,102/8160,0.525177952,0.649626513,0.508567701,CD14,1,NA,NA,NA
hsa04064,hsa04064,NF-kappa B signaling pathway,1/59,104/8160,0.532106139,0.649626513,0.508567701,CD14,1,NA,NA,NA
hsa04625,hsa04625,C-type lectin receptor signaling pathway,1/59,104/8160,0.532106139,0.649626513,0.508567701,FCER1G,1,NA,NA,NA
hsa04660,hsa04660,T cell receptor signaling pathway,1/59,104/8160,0.532106139,0.649626513,0.508567701,FOS,1,NA,NA,NA
