,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc
hsa04514,hsa04514,Cell adhesion molecules,6/71,157/8160,0.002355633,0.013208372,0.009918456,CD86/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1,6,0.898989899,15.28556353,0.587542088
hsa05171,hsa05171,Coronavirus disease - COVID-19,7/71,232/8160,0.003885783,0.020097772,0.015091857,CXCL10/CASP1/C3AR1/OAS1/CCL2/CFD/MX1,7,0.721088435,15.80040981,0.60058309
hsa04060,hsa04060,Cytokine-cytokine receptor interaction,8/71,295/8160,0.003903133,0.020097772,0.015091857,TNFSF10/PF4/PPBP/CXCL10/TNFSF13B/CXCL16/CCL2/IFNGR2,8,0.654639175,13.01606203,0.480670103
hsa05143,hsa05143,African trypanosomiasis,3/71,37/8160,0.00396835,0.020097772,0.015091857,HBB/HBA2/HBA1,3,0.996732026,4.195934612,0.039215686
hsa04142,hsa04142,Lysosome,5/71,132/8160,0.005694987,0.027162856,0.020397183,CTSS/CTSB/CTSL/CTSC/CTSA,5,0.713333333,15.96831599,0.622
hsa05132,hsa05132,Salmonella infection,7/71,249/8160,0.00570939,0.027162856,0.020397183,TUBA4A/TNFSF10/CD14/TXN/CASP1/DYNLL1/TUBB1,7,0.321428571,13.50648653,0.482507289
hsa05418,hsa05418,Fluid shear stress and atherosclerosis,5/71,139/8160,0.007065171,0.032624468,0.024498427,NCF1/CTSL/TXN/GSTO1/CCL2,5,0.833333333,16.94643611,0.646
hsa05168,hsa05168,Herpes simplex virus 1 infection,10/71,495/8160,0.010081567,0.045223029,0.033958963,HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/PILRA/IRF7/OAS1/CCL2/IFNGR2,10,0.718128655,15.67839891,0.6
hsa05417,hsa05417,Lipid and atherosclerosis,6/71,215/8160,0.01076326,0.046939772,0.035248102,TNFSF10/CD14/NCF1/IRF7/CASP1/CCL2,6,0.474747475,15.67227818,0.589225589
hsa05166,hsa05166,Human T-cell leukemia virus 1 infection,6/71,222/8160,0.012469474,0.052039402,0.039077526,HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-DPA1/HLA-DPB1/SPI1,6,0.929292929,16.54803633,0.624579125
hsa04620,hsa04620,Toll-like receptor signaling pathway,4/71,104/8160,0.012595524,0.052039402,0.039077526,CD86/CXCL10/CD14/IRF7,4,0.561056106,17.33406805,0.665841584
hsa04623,hsa04623,Cytosolic DNA-sensing pathway,3/71,63/8160,0.017274349,0.069540327,0.052219354,CXCL10/IRF7/CASP1,3,0.624183007,14.64169412,0.54248366
hsa04380,hsa04380,Osteoclast differentiation,4/71,128/8160,0.02503564,0.098264886,0.073789254,FCGR3A/NCF1/SPI1/IFNGR2,4,0.808580858,19.53112376,0.737623762
hsa04650,hsa04650,Natural killer cell mediated cytotoxicity,4/71,131/8160,0.026971897,0.103282632,0.077557189,FCGR3A/TNFSF10/PTPN6/IFNGR2,4,0.613861386,15.13600378,0.569306931
hsa05130,hsa05130,Pathogenic Escherichia coli infection,5/71,197/8160,0.02809522,0.105022607,0.078863775,TUBA4A/TNFSF10/CASP1/PTPN6/TUBB1,5,0.496666667,9.780702408,0.322
hsa05340,hsa05340,Primary immunodeficiency,2/71,38/8160,0.042909535,0.156669697,0.117646705,ADA/CD79A,2,0.236245955,13.0460597,0.490291262
hsa05160,hsa05160,Hepatitis C,4/71,157/8160,0.047481744,0.168350821,0.126418317,CXCL10/IRF7/OAS1/MX1,4,0.914191419,11.1706007,0.398514851
hsa04657,hsa04657,IL-17 signaling pathway,3/71,94/8160,0.04825342,0.168350821,0.126418317,CXCL10/CCL2/CEBPB,3,0.526143791,16.76699734,0.624183007
hsa04666,hsa04666,Fc gamma R-mediated phagocytosis,3/71,97/8160,0.05211874,0.177883526,0.133576634,FCGR3A/NCF1/VASP,3,0.754901961,16.56444198,0.620915033
hsa00860,hsa00860,Porphyrin metabolism,2/71,43/8160,0.053617373,0.179104841,0.134493746,ALAS2/BLVRB,2,0.928802589,7.228366751,0.27184466
hsa04668,hsa04668,TNF signaling pathway,3/71,112/8160,0.073586358,0.240688711,0.180738422,CXCL10/CCL2/CEBPB,3,0.526143791,16.76699734,0.624183007
hsa05202,hsa05202,Transcriptional misregulation in cancer,4/71,193/8160,0.086916076,0.270178803,0.202883178,CD86/CD14/SPI1/CEBPB,4,0.848184818,22.83158975,0.888613861
hsa00480,hsa00480,Glutathione metabolism,2/71,57/8160,0.087765089,0.270178803,0.202883178,LAP3/GSTO1,2,0.540453074,18.89340508,0.72815534
hsa05134,hsa05134,Legionellosis,2/71,57/8160,0.087765089,0.270178803,0.202883178,CD14/CASP1,2,0.760517799,21.77437679,0.839805825
hsa04978,hsa04978,Mineral absorption,2/71,60/8160,0.0957552,0.289107046,0.21709681,ATP1B3/MT2A,2,0.533980583,11.34591536,0.432038835
hsa03250,hsa03250,Viral life cycle - HIV-1,2/71,63/8160,0.103945703,0.30791463,0.231219836,APOBEC3A/MX1,2,0.915857605,11.88937363,0.451456311
hsa05221,hsa05221,Acute myeloid leukemia,2/71,67/8160,0.11515163,0.334792702,0.251403169,CD14/SPI1,2,0.98381877,25.73425089,0.975728155
hsa05162,hsa05162,Measles,3/71,139/8160,0.12029824,0.341872075,0.256719225,IRF7/OAS1/MX1,3,0.967320261,10.73720361,0.385620915
hsa04622,hsa04622,RIG-I-like receptor signaling pathway,2/71,70/8160,0.123751065,0.341872075,0.256719225,CXCL10/IRF7,2,0.828478964,12.72130361,0.45631068
hsa04140,hsa04140,Autophagy - animal,3/71,141/8160,0.124119161,0.341872075,0.256719225,CTSB/CTSL/VMP1,3,0.777777778,17.1596575,0.663398693
hsa00910,hsa00910,Nitrogen metabolism,1/71,17/8160,0.138181357,0.374042639,0.280876806,CA1,1,0.5,5.021427692,0.125
hsa05133,hsa05133,Pertussis,2/71,76/8160,0.141391511,0.376245206,0.282530761,CD14/CASP1,2,0.760517799,21.77437679,0.839805825
hsa04662,hsa04662,B cell receptor signaling pathway,2/71,82/8160,0.159534796,0.412765102,0.309954351,PTPN6/CD79A,2,0.067961165,10.72613789,0.388349515
hsa04217,hsa04217,Necroptosis,3/71,159/8160,0.160373702,0.412765102,0.309954351,TNFSF10/CASP1/IFNGR2,3,0.401960784,14.8955878,0.562091503
hsa04540,hsa04540,Gap junction,2/71,88/8160,0.17808546,0.440346638,0.33066593,TUBA4A/TUBB1,2,0.954692557,4.688884623,0.082524272
hsa05235,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,2/71,89/8160,0.181210601,0.440346638,0.33066593,PTPN6/IFNGR2,2,0.692556634,15.13193134,0.558252427
hsa04614,hsa04614,Renin-angiotensin system,1/71,23/8160,0.182309118,0.440346638,0.33066593,CTSA,1,0.5,5.594055388,0.201923077
hsa04964,hsa04964,Proximal tubule bicarbonate reclamation,1/71,23/8160,0.182309118,0.440346638,0.33066593,ATP1B3,1,0.5,16.9640199,0.644230769
hsa04970,hsa04970,Salivary secretion,2/71,92/8160,0.190635477,0.453481362,0.340529081,ATP1B3/CST3,2,0.627831715,22.8904067,0.825242718
hsa05012,hsa05012,Parkinson disease,4/71,266/8160,0.200589499,0.470038079,0.352961883,TUBA4A/SNCA/TXN/TUBB1,4,0.745874587,8.33279346,0.254950495
hsa05142,hsa05142,Chagas disease,2/71,102/8160,0.222478623,0.503668734,0.378215878,CCL2/IFNGR2,2,0.851132686,17.25608549,0.645631068
hsa05146,hsa05146,Amoebiasis,2/71,102/8160,0.222478623,0.503668734,0.378215878,PRDX1/CD14,2,0.734627832,20.97545718,0.800970874
hsa04064,hsa04064,NF-kappa B signaling pathway,2/71,104/8160,0.228905836,0.503668734,0.378215878,CD14/TNFSF13B,2,0.297734628,19.44536197,0.737864078
hsa04613,hsa04613,Neutrophil extracellular trap formation,3/71,190/8160,0.228953892,0.503668734,0.378215878,FCGR3A/NCF1/CASP1,3,0.588235294,17.49743506,0.666666667
hsa00030,hsa00030,Pentose phosphate pathway,1/71,30/8160,0.23098184,0.503668734,0.378215878,TALDO1,1,0.5,18.80715734,0.759615385
hsa05167,hsa05167,Kaposi sarcoma-associated herpesvirus infection,3/71,194/8160,0.238207324,0.512308902,0.384703969,CD86/GNG11/IRF7,3,0.199346405,12.27655882,0.45751634
hsa04130,hsa04130,SNARE interactions in vesicular transport,1/71,33/8160,0.250956544,0.53243483,0.399816969,VAMP5,1,0.5,5.945639296,0.240384615
hsa04670,hsa04670,Leukocyte transendothelial migration,2/71,114/8160,0.26120044,0.545315713,0.409489506,NCF1/VASP,2,0.650485437,13.95251006,0.504854369
hsa05205,hsa05205,Proteoglycans in cancer,3/71,205/8160,0.263974485,0.545315713,0.409489506,CTSL/PTPN6/PLAUR,3,0.839869281,19.13889394,0.718954248
hsa04960,hsa04960,Aldosterone-regulated sodium reabsorption,1/71,37/8160,0.276795735,0.557140133,0.418368722,ATP1B3,1,0.5,16.9640199,0.644230769
hsa05216,hsa05216,Thyroid cancer,1/71,37/8160,0.276795735,0.557140133,0.418368722,NCOA4,1,0.5,9.67592559,0.355769231
hsa00260,hsa00260,"Glycine, serine and threonine metabolism",1/71,40/8160,0.295596504,0.587451279,0.441130025,ALAS2,1,0.5,6.886279116,0.269230769
hsa04216,hsa04216,Ferroptosis,1/71,41/8160,0.301755697,0.592195555,0.444692606,NCOA4,1,0.5,9.67592559,0.355769231
hsa00380,hsa00380,Tryptophan metabolism,1/71,42/8160,0.307861787,0.59671976,0.44808993,KYNU,1,0.5,26.69206549,0.990384615
hsa04962,hsa04962,Vasopressin-regulated water reabsorption,1/71,44/8160,0.31991646,0.612522977,0.459956912,DYNLL1,1,0.5,17.84399999,0.673076923
hsa05135,hsa05135,Yersinia infection,2/71,137/8160,0.335353641,0.631011704,0.473840502,CASP1/CCL2,2,0.608414239,17.64110224,0.669902913
hsa04973,hsa04973,Carbohydrate digestion and absorption,1/71,47/8160,0.337611358,0.631011704,0.473840502,ATP1B3,1,0.5,16.9640199,0.644230769
hsa00565,hsa00565,Ether lipid metabolism,1/71,49/8160,0.349154974,0.6412548,0.481532267,PLA2G7,1,0.5,21.18613983,0.807692308
hsa04936,hsa04936,Alcoholic liver disease,2/71,142/8160,0.351260591,0.6412548,0.481532267,CD14/C3AR1,2,0.944983819,23.39450887,0.902912621
hsa00330,hsa00330,Arginine and proline metabolism,1/71,51/8160,0.360500201,0.650557835,0.488518119,LAP3,1,0.5,15.84198548,0.586538462
hsa04961,hsa04961,Endocrine and other factor-regulated calcium reabsorption,1/71,53/8160,0.371650402,0.663058103,0.497904844,ATP1B3,1,0.5,16.9640199,0.644230769
hsa01240,hsa01240,Biosynthesis of cofactors,2/71,153/8160,0.385791228,0.680553065,0.511042195,KYNU/ALAS2,2,NA,NA,NA
hsa04630,hsa04630,JAK-STAT signaling pathway,2/71,162/8160,0.413466666,0.721269629,0.541617154,PTPN6/IFNGR2,2,0.692556634,15.13193134,0.558252427
hsa05020,hsa05020,Prion disease,3/71,273/8160,0.425908088,0.731387462,0.549214856,TUBA4A/NCF1/TUBB1,3,0.696078431,7.199764498,0.196078431
hsa04022,hsa04022,cGMP-PKG signaling pathway,2/71,167/8160,0.428583736,0.731387462,0.549214856,ATP1B3/VASP,2,0.935275081,16.32375789,0.611650485
hsa04530,hsa04530,Tight junction,2/71,169/8160,0.434575204,0.733637709,0.550904616,TUBA4A/VASP,2,0.28802589,10.04967344,0.315533981
hsa04924,hsa04924,Renin secretion,1/71,69/8160,0.45421631,0.750652218,0.563681183,CTSB,1,0.5,23.92839253,0.923076923
hsa05204,hsa05204,Chemical carcinogenesis - DNA adducts,1/71,69/8160,0.45421631,0.750652218,0.563681183,GSTO1,1,0.5,21.94482469,0.865384615
hsa04520,hsa04520,Adherens junction,1/71,71/8160,0.463753572,0.756839152,0.568327087,PTPN6,1,0.5,12.55142104,0.451923077
hsa00982,hsa00982,Drug metabolism - cytochrome P450,1/71,72/8160,0.468460396,0.756839152,0.568327087,GSTO1,1,0.5,21.94482469,0.865384615
hsa01524,hsa01524,Platinum drug resistance,1/71,73/8160,0.473126483,0.756839152,0.568327087,GSTO1,1,NA,NA,NA
hsa01230,hsa01230,Biosynthesis of amino acids,1/71,75/8160,0.482337835,0.756839152,0.568327087,TALDO1,1,NA,NA,NA
hsa04918,hsa04918,Thyroid hormone synthesis,1/71,75/8160,0.482337835,0.756839152,0.568327087,ATP1B3,1,0.5,16.9640199,0.644230769
hsa04971,hsa04971,Gastric acid secretion,1/71,76/8160,0.486883786,0.756839152,0.568327087,ATP1B3,1,0.5,16.9640199,0.644230769
hsa00980,hsa00980,Metabolism of xenobiotics by cytochrome P450,1/71,78/8160,0.495857932,0.763232308,0.573127848,GSTO1,1,0.5,21.94482469,0.865384615
hsa00983,hsa00983,Drug metabolism - other enzymes,1/71,80/8160,0.504677298,0.769265396,0.577658226,GSTO1,1,0.5,21.94482469,0.865384615
hsa04146,hsa04146,Peroxisome,1/71,82/8160,0.513344515,0.774952778,0.581929005,PRDX1,1,0.5,16.88463592,0.634615385
hsa01232,hsa01232,Nucleotide metabolism,1/71,85/8160,0.526065711,0.777671752,0.583970742,ADA,1,NA,NA,NA
hsa04911,hsa04911,Insulin secretion,1/71,86/8160,0.530232811,0.777671752,0.583970742,ATP1B3,1,0.5,16.9640199,0.644230769
hsa04260,hsa04260,Cardiac muscle contraction,1/71,87/8160,0.534363784,0.777671752,0.583970742,ATP1B3,1,0.5,16.9640199,0.644230769
hsa04727,hsa04727,GABAergic synapse,1/71,89/8160,0.542518577,0.777671752,0.583970742,GNG11,1,0.5,5.030474676,0.134615385
hsa04976,hsa04976,Bile secretion,1/71,89/8160,0.542518577,0.777671752,0.583970742,ATP1B3,1,0.5,16.9640199,0.644230769
hsa05032,hsa05032,Morphine addiction,1/71,91/8160,0.55053253,0.777671752,0.583970742,GNG11,1,0.5,5.030474676,0.134615385
hsa05170,hsa05170,Human immunodeficiency virus 1 infection,2/71,212/8160,0.55460404,0.777671752,0.583970742,GNG11/APOBEC3A,2,0.537216828,11.84134366,0.441747573
hsa04350,hsa04350,TGF-beta signaling pathway,1/71,94/8160,0.56229462,0.777671752,0.583970742,ID3,1,0.5,4.44272301,0.067307692
hsa04713,hsa04713,Circadian entrainment,1/71,97/8160,0.573753132,0.777671752,0.583970742,GNG11,1,0.5,5.030474676,0.134615385
hsa04925,hsa04925,Aldosterone synthesis and secretion,1/71,98/8160,0.577506515,0.777671752,0.583970742,ATP1B3,1,0.5,16.9640199,0.644230769
hsa05208,hsa05208,Chemical carcinogenesis - reactive oxygen species,2/71,223/8160,0.582358992,0.777671752,0.583970742,NCF1/GSTO1,2,0.394822006,17.08317447,0.650485437
hsa04933,hsa04933,AGE-RAGE signaling pathway in diabetic complications,1/71,100/8160,0.584915791,0.777671752,0.583970742,CCL2,1,0.5,16.79972934,0.625
hsa05163,hsa05163,Human cytomegalovirus infection,2/71,225/8160,0.587269947,0.777671752,0.583970742,GNG11/CCL2,2,0.25566343,10.91510201,0.378640777
hsa04972,hsa04972,Pancreatic secretion,1/71,102/8160,0.59219693,0.777671752,0.583970742,ATP1B3,1,0.5,16.9640199,0.644230769
hsa04974,hsa04974,Protein digestion and absorption,1/71,103/8160,0.595790131,0.777671752,0.583970742,ATP1B3,1,0.5,16.9640199,0.644230769
hsa04625,hsa04625,C-type lectin receptor signaling pathway,1/71,104/8160,0.599352115,0.777671752,0.583970742,CASP1,1,0.5,18.48247513,0.711538462
hsa04660,hsa04660,T cell receptor signaling pathway,1/71,104/8160,0.599352115,0.777671752,0.583970742,PTPN6,1,0.5,12.55142104,0.451923077
hsa04066,hsa04066,HIF-1 signaling pathway,1/71,109/8160,0.616703041,0.783190847,0.588115152,IFNGR2,1,0.5,17.71244164,0.663461538
hsa05014,hsa05014,Amyotrophic lateral sclerosis,3/71,364/8160,0.619890246,0.783190847,0.588115152,TUBA4A/CASP1/TUBB1,3,0.794117647,9.286748126,0.290849673
hsa04725,hsa04725,Cholinergic synapse,1/71,113/8160,0.630048534,0.783190847,0.588115152,GNG11,1,0.5,5.030474676,0.134615385
hsa04724,hsa04724,Glutamatergic synapse,1/71,114/8160,0.633312677,0.783190847,0.588115152,GNG11,1,0.5,5.030474676,0.134615385
hsa01200,hsa01200,Carbon metabolism,1/71,115/8160,0.636548421,0.783190847,0.588115152,TALDO1,1,NA,NA,NA
hsa04726,hsa04726,Serotonergic synapse,1/71,115/8160,0.636548421,0.783190847,0.588115152,GNG11,1,0.5,5.030474676,0.134615385
hsa05131,hsa05131,Shigellosis,2/71,247/8160,0.638525022,0.783190847,0.588115152,CD14/CASP1,2,0.715210356,21.77437679,0.839805825
hsa04919,hsa04919,Thyroid hormone signaling pathway,1/71,121/8160,0.655380027,0.792614201,0.595191354,ATP1B3,1,0.5,16.9640199,0.644230769
hsa05010,hsa05010,Alzheimer disease,3/71,384/8160,0.656304752,0.792614201,0.595191354,TUBA4A/SNCA/TUBB1,3,0.885620915,6.016045845,0.156862745
hsa04611,hsa04611,Platelet activation,1/71,124/8160,0.664431729,0.796303676,0.597961862,VASP,1,0.5,15.68349588,0.576923077
hsa00230,hsa00230,Purine metabolism,1/71,128/8160,0.676136946,0.799466581,0.600336956,ADA,1,0.5,17.19126465,0.653846154
hsa04926,hsa04926,Relaxin signaling pathway,1/71,129/8160,0.678999779,0.799466581,0.600336956,GNG11,1,0.5,5.030474676,0.134615385
hsa04068,hsa04068,FoxO signaling pathway,1/71,131/8160,0.684650801,0.799466581,0.600336956,TNFSF10,1,0.5,8.491846625,0.307692308
hsa04728,hsa04728,Dopaminergic synapse,1/71,132/8160,0.687439416,0.799466581,0.600336956,GNG11,1,0.5,5.030474676,0.134615385
hsa04371,hsa04371,Apelin signaling pathway,1/71,139/8160,0.706290478,0.815350037,0.612264191,GNG11,1,0.5,5.030474676,0.134615385
hsa04550,hsa04550,Signaling pathways regulating pluripotency of stem cells,1/71,143/8160,0.716554495,0.821160991,0.616627764,ID3,1,0.5,4.44272301,0.067307692
hsa04723,hsa04723,Retrograde endocannabinoid signaling,1/71,148/8160,0.728888389,0.828680359,0.622274222,GNG11,1,0.5,5.030474676,0.134615385
hsa04261,hsa04261,Adrenergic signaling in cardiomyocytes,1/71,150/8160,0.73367242,0.828680359,0.622274222,ATP1B3,1,0.5,16.9640199,0.644230769
hsa04218,hsa04218,Cellular senescence,1/71,156/8160,0.747530697,0.836961905,0.628493016,ZFP36L1,1,0.5,4.942703816,0.105769231
hsa05016,hsa05016,Huntington disease,2/71,306/8160,0.751666425,0.836961905,0.628493016,TUBA4A/TUBB1,2,0.954692557,4.688884623,0.082524272
hsa05161,hsa05161,Hepatitis B,1/71,162/8160,0.760677495,0.841030752,0.631548402,IRF7,1,0.5,12.97181527,0.471153846
hsa05225,hsa05225,Hepatocellular carcinoma,1/71,168/8160,0.773148847,0.848841741,0.637413845,GSTO1,1,0.5,21.94482469,0.865384615
hsa04141,hsa04141,Protein processing in endoplasmic reticulum,1/71,171/8160,0.779141995,0.849481203,0.637894031,HERPUD1,1,0.5,5.449412968,0.182692308
hsa05022,hsa05022,Pathways of neurodegeneration - multiple diseases,3/71,476/8160,0.791899664,0.857436188,0.643867603,TUBA4A/SNCA/TUBB1,3,0.885620915,6.016045845,0.156862745
hsa05034,hsa05034,Alcoholism,1/71,187/8160,0.80856392,0.869483119,0.652913908,GNG11,1,0.5,5.030474676,0.134615385
hsa04510,hsa04510,Focal adhesion,1/71,201/8160,0.831114306,0.880458539,0.661155591,VASP,1,0.5,15.68349588,0.576923077
hsa05415,hsa05415,Diabetic cardiomyopathy,1/71,203/8160,0.834114217,0.880458539,0.661155591,NCF1,1,0.5,12.22152425,0.432692308
hsa05203,hsa05203,Viral carcinogenesis,1/71,204/8160,0.83559441,0.880458539,0.661155591,IRF7,1,0.5,12.97181527,0.471153846
hsa04015,hsa04015,Rap1 signaling pathway,1/71,210/8160,0.844205994,0.880631172,0.661285225,VASP,1,0.5,15.68349588,0.576923077
hsa05207,hsa05207,Chemical carcinogenesis - receptor activation,1/71,212/8160,0.846976477,0.880631172,0.661285225,GSTO1,1,0.5,21.94482469,0.865384615
hsa04024,hsa04024,cAMP signaling pathway,1/71,221/8160,0.858854403,0.887106193,0.666147459,ATP1B3,1,0.5,16.9640199,0.644230769
hsa04014,hsa04014,Ras signaling pathway,1/71,235/8160,0.875547951,0.898438093,0.674656832,GNG11,1,0.5,5.030474676,0.134615385
hsa04010,hsa04010,MAPK signaling pathway,1/71,294/8160,0.926960776,0.945018453,0.709635043,CD14,1,0.5,25.06627845,0.961538462
hsa05165,hsa05165,Human papillomavirus infection,1/71,331/8160,0.947817996,0.960047906,0.720920989,MX1,1,0.5,5.126534613,0.153846154
hsa04151,hsa04151,PI3K-Akt signaling pathway,1/71,354/8160,0.957694956,0.960678325,0.721394384,GNG11,1,0.5,5.030474676,0.134615385
