,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc,is_immune
GO:0033014,GO:0033014,tetrapyrrole biosynthetic process,2/83,31/18722,0.008307035,0.360758563,0.338710235,CPOX/ABCB7,2,0.757281553,2.215352733,0.834951456,0
GO:0090162,GO:0090162,establishment of epithelial cell polarity,2/83,31/18722,0.008307035,0.360758563,0.338710235,MYO9A/SIPA1L3,2,0.799352751,1.933598218,0.606796117,0
GO:0030316,GO:0030316,osteoclast differentiation,3/83,94/18722,0.008428938,0.360758563,0.338710235,SLC9B2/TMEM64/SH3PXD2A,3,0.385620915,2.536056622,0.745098039,1
GO:0014044,GO:0014044,Schwann cell development,2/83,32/18722,0.008835518,0.363922582,0.341680879,AKT1/NDRG1,2,0.27184466,2.122798897,0.616504854,0
GO:0044264,GO:0044264,cellular polysaccharide metabolic process,3/83,96/18722,0.008928007,0.363922582,0.341680879,AKT1/IL6ST/B3GNT4,3,0.248366013,2.109543576,0.699346405,0
GO:0034655,GO:0034655,nucleobase-containing compound catabolic process,6/83,407/18722,0.009414748,0.374838354,0.351929517,EXOSC10/AMPD3/ALKBH5/AKT1/XRN1/DROSHA,6,0.461279461,1.964901601,0.574074074,0
GO:0043276,GO:0043276,anoikis,2/83,34/18722,0.009936398,0.378024752,0.354921173,AKT1/TFDP1,2,0.061488673,2.136209289,0.650485437,0
GO:0055094,GO:0055094,response to lipoprotein particle,2/83,34/18722,0.009936398,0.378024752,0.354921173,AKT1/ADTRP,2,0.909385113,2.824218763,0.936893204,0
GO:0032205,GO:0032205,negative regulation of telomere maintenance,2/83,35/18722,0.010508521,0.383476222,0.360039468,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:1990542,GO:1990542,mitochondrial transmembrane transport,3/83,102/18722,0.010527677,0.383476222,0.360039468,SFXN1/ABCB7/AKT1,3,0.712418301,2.22188051,0.790849673,0
GO:0071402,GO:0071402,cellular response to lipoprotein particle stimulus,2/83,36/18722,0.011094919,0.392600402,0.368606009,AKT1/ADTRP,2,0.915857605,2.824218763,0.936893204,0
GO:0040029,GO:0040029,"regulation of gene expression, epigenetic",3/83,105/18722,0.011385813,0.392600402,0.368606009,EXOSC10/MPHOSPH8/MTA1,3,0.18627451,1.932577182,0.490196078,0
GO:2000278,GO:2000278,regulation of DNA biosynthetic process,3/83,106/18722,0.011680576,0.392600402,0.368606009,EXOSC10/XRN1/TFDP1,3,0.535947712,1.715442759,0.326797386,0
GO:0032885,GO:0032885,regulation of polysaccharide biosynthetic process,2/83,37/18722,0.011695456,0.392600402,0.368606009,AKT1/CLTC,2,0.919093851,2.325245647,0.86407767,0
GO:0006403,GO:0006403,RNA localization,4/83,201/18722,0.012256403,0.393915495,0.369840729,EXOSC10/ALKBH5/FYTTD1/FLOT1,4,0.313531353,1.737556129,0.396039604,0
GO:2000279,GO:2000279,negative regulation of DNA biosynthetic process,2/83,38/18722,0.012309999,0.393915495,0.369840729,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:0016051,GO:0016051,carbohydrate biosynthetic process,4/83,202/18722,0.012462703,0.393915495,0.369840729,AKT1/ST6GALNAC6/CLTC/B3GNT4,4,0.811881188,2.400878354,0.851485149,0
GO:0014037,GO:0014037,Schwann cell differentiation,2/83,40/18722,0.013580572,0.393915495,0.369840729,AKT1/NDRG1,2,0.27184466,2.122798897,0.616504854,0
GO:0031623,GO:0031623,receptor internalization,3/83,113/18722,0.013867043,0.393915495,0.369840729,FLOT1/CLTC/LMBRD1,3,0.343137255,1.783421039,0.424836601,0
GO:0046700,GO:0046700,heterocycle catabolic process,6/83,445/18722,0.014141801,0.393915495,0.369840729,EXOSC10/AMPD3/ALKBH5/AKT1/XRN1/DROSHA,6,0.387205387,1.964901601,0.574074074,0
GO:0042168,GO:0042168,heme metabolic process,2/83,42/18722,0.014905586,0.393915495,0.369840729,CPOX/ABCB7,2,0.757281553,2.215352733,0.834951456,0
GO:0090503,GO:0090503,"RNA phosphodiester bond hydrolysis, exonucleolytic",2/83,42/18722,0.014905586,0.393915495,0.369840729,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:0044270,GO:0044270,cellular nitrogen compound catabolic process,6/83,451/18722,0.015016496,0.393915495,0.369840729,EXOSC10/AMPD3/ALKBH5/AKT1/XRN1/DROSHA,6,0.486531987,1.964901601,0.574074074,0
GO:0000082,GO:0000082,G1/S transition of mitotic cell cycle,4/83,214/18722,0.015113476,0.393915495,0.369840729,PLK3/PPP6C/AKT1/TFDP1,4,0.273927393,1.993720071,0.566831683,0
GO:0030203,GO:0030203,glycosaminoglycan metabolic process,3/83,118/18722,0.015561867,0.393915495,0.369840729,AKT1/CLTC/B3GNT4,3,0.888888889,2.215422378,0.81372549,0
GO:0002066,GO:0002066,columnar/cuboidal epithelial cell development,2/83,44/18722,0.016284002,0.393915495,0.369840729,AKT1/IL6ST,2,0.067961165,2.166427445,0.694174757,0
GO:0032881,GO:0032881,regulation of polysaccharide metabolic process,2/83,44/18722,0.016284002,0.393915495,0.369840729,AKT1/CLTC,2,0.919093851,2.325245647,0.86407767,0
GO:0042554,GO:0042554,superoxide anion generation,2/83,44/18722,0.016284002,0.393915495,0.369840729,AKT1/SH3PXD2A,2,0.184466019,2.310437824,0.844660194,0
GO:0008631,GO:0008631,intrinsic apoptotic signaling pathway in response to oxidative stress,2/83,45/18722,0.016992915,0.393915495,0.369840729,AKT1/GSKIP,2,0.734627832,2.417735282,0.888349515,0
GO:0071364,GO:0071364,cellular response to epidermal growth factor stimulus,2/83,45/18722,0.016992915,0.393915495,0.369840729,EEF1A1/AKT1,2,0.741100324,2.500390398,0.912621359,0
GO:0019439,GO:0019439,aromatic compound catabolic process,6/83,467/18722,0.017532409,0.393915495,0.369840729,EXOSC10/AMPD3/ALKBH5/AKT1/XRN1/DROSHA,6,0.609427609,1.964901601,0.574074074,0
GO:1900087,GO:1900087,positive regulation of G1/S transition of mitotic cell cycle,2/83,46/18722,0.017714796,0.393915495,0.369840729,AKT1/TFDP1,2,0.064724919,2.136209289,0.650485437,0
GO:0045332,GO:0045332,phospholipid translocation,2/83,47/18722,0.018449518,0.393915495,0.369840729,ATP8B2/ATP8A1,2,0.093851133,1.455414341,0.048543689,0
GO:0002686,GO:0002686,negative regulation of leukocyte migration,2/83,48/18722,0.019196955,0.393915495,0.369840729,AKT1/ADTRP,2,0.909385113,2.824218763,0.936893204,1
GO:0006022,GO:0006022,aminoglycan metabolic process,3/83,129/18722,0.019685222,0.393915495,0.369840729,AKT1/CLTC/B3GNT4,3,0.888888889,2.215422378,0.81372549,0
GO:0006402,GO:0006402,mRNA catabolic process,4/83,232/18722,0.019716165,0.393915495,0.369840729,EXOSC10/ALKBH5/AKT1/XRN1,4,0.396039604,1.953407084,0.522277228,0
GO:0006778,GO:0006778,porphyrin-containing compound metabolic process,2/83,49/18722,0.019956985,0.393915495,0.369840729,CPOX/ABCB7,2,0.757281553,2.215352733,0.834951456,0
GO:0010823,GO:0010823,negative regulation of mitochondrion organization,2/83,49/18722,0.019956985,0.393915495,0.369840729,AKT1/C11orf65,2,0.44012945,2.596830745,0.922330097,0
GO:0030225,GO:0030225,macrophage differentiation,2/83,49/18722,0.019956985,0.393915495,0.369840729,GAB3/L3MBTL3,2,0.750809061,3.069586298,0.830097087,1
GO:0070849,GO:0070849,response to epidermal growth factor,2/83,49/18722,0.019956985,0.393915495,0.369840729,EEF1A1/AKT1,2,0.74433657,2.500390398,0.912621359,0
GO:0045667,GO:0045667,regulation of osteoblast differentiation,3/83,132/18722,0.02090454,0.393915495,0.369840729,TMEM64/IL6ST/BMPR1A,3,0.568627451,1.767598337,0.41503268,0
GO:0051052,GO:0051052,regulation of DNA metabolic process,5/83,359/18722,0.021678135,0.393915495,0.369840729,EXOSC10/MPHOSPH8/AKT1/XRN1/TFDP1,5,0.19,1.874928551,0.43,0
GO:0044843,GO:0044843,cell cycle G1/S phase transition,4/83,241/18722,0.022309429,0.393915495,0.369840729,PLK3/PPP6C/AKT1/TFDP1,4,0.273927393,1.993720071,0.566831683,0
GO:0034204,GO:0034204,lipid translocation,2/83,52/18722,0.022311395,0.393915495,0.369840729,ATP8B2/ATP8A1,2,0.093851133,1.455414341,0.048543689,0
GO:0035196,GO:0035196,production of miRNAs involved in gene silencing by miRNA,2/83,52/18722,0.022311395,0.393915495,0.369840729,BCDIN3D/DROSHA,2,0.533980583,1.657472336,0.300970874,0
GO:2000378,GO:2000378,negative regulation of reactive oxygen species metabolic process,2/83,52/18722,0.022311395,0.393915495,0.369840729,ABCB7/AKT1,2,0.990291262,2.391319769,0.878640777,0
GO:1901361,GO:1901361,organic cyclic compound catabolic process,6/83,495/18722,0.022610326,0.393915495,0.369840729,EXOSC10/AMPD3/ALKBH5/AKT1/XRN1/DROSHA,6,0.437710438,1.964901601,0.574074074,0
GO:0032210,GO:0032210,regulation of telomere maintenance via telomerase,2/83,53/18722,0.023120566,0.393915495,0.369840729,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:0006898,GO:0006898,receptor-mediated endocytosis,4/83,244/18722,0.023218062,0.393915495,0.369840729,SLC9B2/FLOT1/CLTC/LMBRD1,4,0.623762376,2.268051502,0.561881188,0
GO:0031050,GO:0031050,dsRNA processing,2/83,54/18722,0.02394172,0.393915495,0.369840729,BCDIN3D/DROSHA,2,0.45631068,1.657472336,0.300970874,0
GO:0070918,GO:0070918,production of small RNA involved in gene silencing by RNA,2/83,54/18722,0.02394172,0.393915495,0.369840729,BCDIN3D/DROSHA,2,0.533980583,1.657472336,0.300970874,0
GO:0000768,GO:0000768,syncytium formation by plasma membrane fusion,2/83,55/18722,0.024774736,0.393915495,0.369840729,SH3PXD2A/FLOT1,2,0.669902913,1.782666869,0.417475728,0
GO:0140253,GO:0140253,cell-cell fusion,2/83,55/18722,0.024774736,0.393915495,0.369840729,SH3PXD2A/FLOT1,2,0.669902913,1.782666869,0.417475728,0
GO:0007009,GO:0007009,plasma membrane organization,3/83,142/18722,0.025263251,0.393915495,0.369840729,AKT1/NDRG1/FLOT1,3,0.522875817,1.909870063,0.431372549,0
GO:2000045,GO:2000045,regulation of G1/S transition of mitotic cell cycle,3/83,142/18722,0.025263251,0.393915495,0.369840729,PLK3/AKT1/TFDP1,3,0.267973856,1.985511288,0.516339869,0
GO:0031122,GO:0031122,cytoplasmic microtubule organization,2/83,56/18722,0.025619498,0.393915495,0.369840729,SLAIN1/PLK3,2,0.601941748,1.745075164,0.378640777,0
GO:0046622,GO:0046622,positive regulation of organ growth,2/83,56/18722,0.025619498,0.393915495,0.369840729,AKT1/BMPR1A,2,0.488673139,2.12207155,0.601941748,0
GO:0006839,GO:0006839,mitochondrial transport,4/83,254/18722,0.026408615,0.393915495,0.369840729,SFXN1/ABCB7/AKT1/C11orf65,4,0.511551155,2.329937179,0.829207921,0
GO:0006949,GO:0006949,syncytium formation,2/83,57/18722,0.026475886,0.393915495,0.369840729,SH3PXD2A/FLOT1,2,0.669902913,1.782666869,0.417475728,0
GO:0030099,GO:0030099,myeloid cell differentiation,5/83,381/18722,0.027133768,0.393915495,0.369840729,GAB3/SLC9B2/TMEM64/SH3PXD2A/L3MBTL3,5,0.57,2.749468492,0.786,1
GO:0002763,GO:0002763,positive regulation of myeloid leukocyte differentiation,2/83,58/18722,0.027343784,0.393915495,0.369840729,SLC9B2/TMEM64,2,0.038834951,2.763424261,0.72815534,1
GO:0006826,GO:0006826,iron ion transport,2/83,58/18722,0.027343784,0.393915495,0.369840729,ABCB7/CLTC,2,0.870550162,2.177011112,0.825242718,0
GO:0097035,GO:0097035,regulation of membrane lipid distribution,2/83,58/18722,0.027343784,0.393915495,0.369840729,ATP8B2/ATP8A1,2,0.090614887,1.455414341,0.048543689,0
GO:1902808,GO:1902808,positive regulation of cell cycle G1/S phase transition,2/83,58/18722,0.027343784,0.393915495,0.369840729,AKT1/TFDP1,2,0.061488673,2.136209289,0.650485437,0
GO:0006406,GO:0006406,mRNA export from nucleus,2/83,59/18722,0.028223076,0.393915495,0.369840729,ALKBH5/FYTTD1,2,0.640776699,1.876300785,0.597087379,0
GO:0071427,GO:0071427,mRNA-containing ribonucleoprotein complex export from nucleus,2/83,59/18722,0.028223076,0.393915495,0.369840729,ALKBH5/FYTTD1,2,0.640776699,1.876300785,0.597087379,0
GO:0071456,GO:0071456,cellular response to hypoxia,3/83,151/18722,0.029572872,0.393915495,0.369840729,PLK3/AKT1/NDRG1,3,0.395424837,1.976571028,0.493464052,0
GO:0042176,GO:0042176,regulation of protein catabolic process,5/83,391/18722,0.029879413,0.393915495,0.369840729,EEF1A1/PLK3/QRICH2/ODC1/AKT1,5,0.616666667,2.494225647,0.646,0
GO:1904356,GO:1904356,regulation of telomere maintenance via telomere lengthening,2/83,61/18722,0.030015379,0.393915495,0.369840729,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:2000401,GO:2000401,regulation of lymphocyte migration,2/83,61/18722,0.030015379,0.393915495,0.369840729,AKT1/ADTRP,2,0.909385113,2.824218763,0.936893204,1
GO:0090501,GO:0090501,RNA phosphodiester bond hydrolysis,3/83,152/18722,0.030074266,0.393915495,0.369840729,EXOSC10/XRN1/DROSHA,3,0.509803922,1.740790856,0.37254902,0
GO:0046148,GO:0046148,pigment biosynthetic process,2/83,62/18722,0.030928162,0.393915495,0.369840729,CPOX/ABCB7,2,0.757281553,2.215352733,0.834951456,0
GO:0045670,GO:0045670,regulation of osteoclast differentiation,2/83,64/18722,0.032786425,0.393915495,0.369840729,SLC9B2/TMEM64,2,0.029126214,2.763424261,0.72815534,1
GO:0033692,GO:0033692,cellular polysaccharide biosynthetic process,2/83,65/18722,0.033731681,0.393915495,0.369840729,AKT1/B3GNT4,2,0.676375405,2.267665072,0.810679612,0
GO:0045600,GO:0045600,positive regulation of fat cell differentiation,2/83,66/18722,0.034687538,0.393915495,0.369840729,AKT1/TMEM64,2,0.268608414,2.172229967,0.703883495,0
GO:0036294,GO:0036294,cellular response to decreased oxygen levels,3/83,161/18722,0.034788586,0.393915495,0.369840729,PLK3/AKT1/NDRG1,3,0.395424837,1.976571028,0.493464052,0
GO:0001503,GO:0001503,ossification,5/83,408/18722,0.034939262,0.393915495,0.369840729,AKT1/TMEM64/IL6ST/BMPR1A/CLTC,5,0.44,1.990657261,0.598,0
GO:1902105,GO:1902105,regulation of leukocyte differentiation,4/83,279/18722,0.035492736,0.393915495,0.369840729,HLA-B/SLC9B2/TMEM64/DROSHA,4,0.584158416,2.330065018,0.665841584,1
GO:0050657,GO:0050657,nucleic acid transport,3/83,163/18722,0.035885304,0.393915495,0.369840729,ALKBH5/FYTTD1/FLOT1,3,0.620915033,1.745537988,0.418300654,0
GO:0050658,GO:0050658,RNA transport,3/83,163/18722,0.035885304,0.393915495,0.369840729,ALKBH5/FYTTD1/FLOT1,3,0.620915033,1.745537988,0.418300654,0
GO:0072331,GO:0072331,signal transduction by p53 class mediator,3/83,163/18722,0.035885304,0.393915495,0.369840729,PLK3/AKT1/NDRG1,3,0.395424837,1.976571028,0.493464052,0
GO:2000058,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,3/83,164/18722,0.036440322,0.393915495,0.369840729,PLK3/QRICH2/AKT1,3,0.611111111,1.93392221,0.431372549,0
GO:0044262,GO:0044262,cellular carbohydrate metabolic process,4/83,283/18722,0.037094928,0.393915495,0.369840729,AKT1/IL6ST/B3GNT4/GK,4,0.128712871,1.916165912,0.522277228,0
GO:0043112,GO:0043112,receptor metabolic process,3/83,166/18722,0.03756364,0.393915495,0.369840729,FLOT1/CLTC/LMBRD1,3,0.343137255,1.783421039,0.424836601,0
GO:0051236,GO:0051236,establishment of RNA localization,3/83,166/18722,0.03756364,0.393915495,0.369840729,ALKBH5/FYTTD1/FLOT1,3,0.620915033,1.745537988,0.418300654,0
GO:0007004,GO:0007004,telomere maintenance via telomerase,2/83,69/18722,0.037617624,0.393915495,0.369840729,EXOSC10/XRN1,2,0.734627832,1.706732002,0.300970874,0
GO:0045669,GO:0045669,positive regulation of osteoblast differentiation,2/83,69/18722,0.037617624,0.393915495,0.369840729,IL6ST/BMPR1A,2,0.368932039,1.74894469,0.378640777,0
GO:1902806,GO:1902806,regulation of cell cycle G1/S phase transition,3/83,168/18722,0.038704621,0.393915495,0.369840729,PLK3/AKT1/TFDP1,3,0.267973856,1.985511288,0.516339869,0
GO:0061515,GO:0061515,myeloid cell development,2/83,71/18722,0.039622023,0.393915495,0.369840729,SLC9B2/L3MBTL3,2,0.504854369,2.831807948,0.815533981,1
GO:0001707,GO:0001707,mesoderm formation,2/83,72/18722,0.040639205,0.393915495,0.369840729,TXNRD1/BMPR1A,2,0.233009709,1.706651241,0.305825243,0
GO:0005977,GO:0005977,glycogen metabolic process,2/83,72/18722,0.040639205,0.393915495,0.369840729,AKT1/IL6ST,2,0.077669903,2.166427445,0.694174757,0
GO:0030330,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",2/83,72/18722,0.040639205,0.393915495,0.369840729,PLK3/NDRG1,2,0.647249191,1.695079389,0.281553398,0
GO:0042770,GO:0042770,signal transduction in response to DNA damage,3/83,172/18722,0.04103933,0.393915495,0.369840729,PLK3/RAD9B/NDRG1,3,0.892156863,1.724261118,0.336601307,0
GO:0006073,GO:0006073,cellular glucan metabolic process,2/83,73/18722,0.041666233,0.393915495,0.369840729,AKT1/IL6ST,2,0.067961165,2.166427445,0.694174757,0
GO:0044042,GO:0044042,glucan metabolic process,2/83,73/18722,0.041666233,0.393915495,0.369840729,AKT1/IL6ST,2,0.077669903,2.166427445,0.694174757,0
GO:0006801,GO:0006801,superoxide metabolic process,2/83,74/18722,0.042703002,0.393915495,0.369840729,AKT1/SH3PXD2A,2,0.203883495,2.310437824,0.844660194,0
GO:0048332,GO:0048332,mesoderm morphogenesis,2/83,74/18722,0.042703002,0.393915495,0.369840729,TXNRD1/BMPR1A,2,0.213592233,1.706651241,0.305825243,0
GO:0051881,GO:0051881,regulation of mitochondrial membrane potential,2/83,74/18722,0.042703002,0.393915495,0.369840729,AKT1/CASP1,2,0.055016181,2.480253142,0.902912621,0
GO:0000338,GO:0000338,protein deneddylation,1/83,10/18722,0.043469056,0.393915495,0.369840729,COPS8,1,NA,NA,NA,0
GO:0003183,GO:0003183,mitral valve morphogenesis,1/83,10/18722,0.043469056,0.393915495,0.369840729,BMPR1A,1,NA,NA,NA,0
GO:0003330,GO:0003330,regulation of extracellular matrix constituent secretion,1/83,10/18722,0.043469056,0.393915495,0.369840729,ADTRP,1,NA,NA,NA,0
GO:0009169,GO:0009169,purine ribonucleoside monophosphate catabolic process,1/83,10/18722,0.043469056,0.393915495,0.369840729,AMPD3,1,NA,NA,NA,0
GO:0009950,GO:0009950,dorsal/ventral axis specification,1/83,10/18722,0.043469056,0.393915495,0.369840729,BMPR1A,1,NA,NA,NA,0
GO:0015911,GO:0015911,long-chain fatty acid import across plasma membrane,1/83,10/18722,0.043469056,0.393915495,0.369840729,AKT1,1,NA,NA,NA,0
GO:0031125,GO:0031125,rRNA 3'-end processing,1/83,10/18722,0.043469056,0.393915495,0.369840729,EXOSC10,1,NA,NA,NA,0
GO:0032070,GO:0032070,regulation of deoxyribonuclease activity,1/83,10/18722,0.043469056,0.393915495,0.369840729,AKT1,1,NA,NA,NA,0
GO:0033572,GO:0033572,transferrin transport,1/83,10/18722,0.043469056,0.393915495,0.369840729,CLTC,1,NA,NA,NA,0
GO:0035907,GO:0035907,dorsal aorta development,1/83,10/18722,0.043469056,0.393915495,0.369840729,BMPR1A,1,NA,NA,NA,0
GO:0045792,GO:0045792,negative regulation of cell size,1/83,10/18722,0.043469056,0.393915495,0.369840729,AKT1,1,NA,NA,NA,0
GO:0048340,GO:0048340,paraxial mesoderm morphogenesis,1/83,10/18722,0.043469056,0.393915495,0.369840729,BMPR1A,1,NA,NA,NA,0
GO:0006024,GO:0006024,glycosaminoglycan biosynthetic process,2/83,75/18722,0.043749409,0.393915495,0.369840729,CLTC/B3GNT4,2,0.844660194,2.053356415,0.757281553,0
GO:0006278,GO:0006278,RNA-dependent DNA biosynthetic process,2/83,75/18722,0.043749409,0.393915495,0.369840729,EXOSC10/XRN1,2,0.741100324,1.706732002,0.300970874,0
GO:0071453,GO:0071453,cellular response to oxygen levels,3/83,177/18722,0.04405594,0.393915495,0.369840729,PLK3/AKT1/NDRG1,3,0.395424837,1.976571028,0.493464052,0
GO:0006305,GO:0006305,DNA alkylation,2/83,76/18722,0.044805349,0.393915495,0.369840729,MPHOSPH8/TDRKH,2,0.566343042,1.668071462,0.233009709,0
GO:0006306,GO:0006306,DNA methylation,2/83,76/18722,0.044805349,0.393915495,0.369840729,MPHOSPH8/TDRKH,2,0.566343042,1.668071462,0.233009709,0
